Skipping line: 	Sp_ds	Sp_hs	Sp_log	Sp_plat with error: line is missing fields
Skipping line: c5161_g1_i1	107.49	89.39	26.95	698.97	 with error: no match in BLAST file
Skipping line: c5110_g1_i1	423.15	260.02	109.10	951.56	 with error: no match in BLAST file
Skipping line: c1382_g1_i1	0.00	1.30	1.85	48.91	 with error: no match in BLAST file
Skipping line: c6221_g1_i1	5.85	0.00	1.96	215.17	 with error: no match in BLAST file
Skipping line: c4189_g1_i2	29.61	13.91	4.67	406.54	 with error: no match in BLAST file
Skipping line: c933_g1_i2	2.69	211.34	1.24	1.67	 with error: no match in BLAST file
Skipping line: c4446_g2_i1	21.40	111.83	2.53	18.59	 with error: no match in BLAST file
Skipping line: c2439_g1_i1	17.00	21.41	349.11	19.20	 with error: no match in BLAST file
Skipping line: c6492_g1_i1	235.68	844.12	885.50	86.29	 with error: no match in BLAST file
Skipping line: c4438_g1_i2	4.15	8.64	5.25	78.37	 with error: no match in BLAST file
Skipping line: c1541_g1_i1	82.55	6.20	1.10	407.14	 with error: no match in BLAST file
Skipping line: c5038_g1_i1	835.97	6594.79	178.12	1313.01	 with error: no match in BLAST file
Skipping line: c5928_g1_i1	8785.03	11720.86	291.58	17505.61	 with error: no match in BLAST file
Skipping line: c2673_g2_i1	30.87	8.36	0.00	33.98	 with error: no match in BLAST file
Skipping line: c6038_g1_i1	7.37	38.05	0.00	37.67	 with error: no match in BLAST file
Skipping line: c2248_g1_i2	12.35	0.00	1.59	111.70	 with error: no match in BLAST file
Skipping line: c5525_g1_i1	8.36	0.00	2.26	95.08	 with error: no match in BLAST file
Skipping line: c2826_g1_i1	0.00	111.77	0.00	0.00	 with error: no match in BLAST file
Skipping line: c3069_g1_i1	12.00	295.63	8.03	12.27	 with error: no match in BLAST file
Skipping line: c6428_g1_i1	0.00	127.54	0.00	0.00	 with error: no match in BLAST file
Skipping line: c1910_g1_i1	2.25	0.00	0.00	75.45	 with error: no match in BLAST file
Skipping line: c5946_g1_i1	166.45	1481.30	142.46	146.15	 with error: no match in BLAST file
Skipping line: c3245_g1_i1	45.20	1.25	28.45	2.72	 with error: no match in BLAST file
Skipping line: c4471_g2_i2	1616.22	1895.55	211.99	1117.95	 with error: no match in BLAST file
Skipping line: c1292_g1_i1	41.34	0.00	0.00	98.93	 with error: no match in BLAST file
Skipping line: c6384_g1_i1	7.53	1000.48	3.36	18.80	 with error: no match in BLAST file
Skipping line: c5136_g1_i1	23.15	304.05	105.77	352.16	 with error: no match in BLAST file
Skipping line: c4957_g1_i1	2136.53	4218.78	23.29	2462.47	 with error: no match in BLAST file
Skipping line: c6243_g1_i1	410.60	2323.42	2133.01	222.67	 with error: no match in BLAST file
Skipping line: c3801_g1_i1	87.74	28.30	3.67	97.12	 with error: no match in BLAST file
Skipping line: c6252_g1_i1	0.00	0.00	0.00	92.68	 with error: no match in BLAST file
Skipping line: c4351_g1_i1	18.42	14.81	7.92	150.57	 with error: no match in BLAST file
Skipping line: c5036_g1_i1	2245.52	710.44	239.09	6969.63	 with error: no match in BLAST file
Skipping line: c4712_g1_i2	3.81	3.56	1.19	58.51	 with error: no match in BLAST file
Skipping line: c4754_g2_i1	119.05	0.00	0.00	5.29	 with error: no match in BLAST file
Skipping line: c5021_g1_i1	5.16	74.06	0.00	12.65	 with error: no match in BLAST file
Skipping line: c6166_g1_i1	813.05	287.41	12.72	5752.11	 with error: no match in BLAST file
Skipping line: c6016_g1_i1	1362.26	3992.17	3521.94	450.13	 with error: no match in BLAST file
Skipping line: c1546_g1_i2	4.00	0.00	0.00	25.67	 with error: no match in BLAST file
Skipping line: c2018_g1_i2	18.39	19.74	0.00	61.54	 with error: no match in BLAST file
Skipping line: c4743_g1_i2	181.31	158.03	0.00	24.00	 with error: no match in BLAST file
Skipping line: c5229_g1_i1	517.33	2381.85	24.39	330.96	 with error: no match in BLAST file
Skipping line: c5428_g1_i1	8.03	0.00	0.00	55.37	 with error: no match in BLAST file
Skipping line: c3249_g1_i1	18.80	120.05	10.15	5.91	 with error: no match in BLAST file
Skipping line: c974_g1_i1	24.18	70.33	2.43	117.77	 with error: no match in BLAST file
Skipping line: c5094_g1_i1	32.05	33.16	6.62	87.64	 with error: no match in BLAST file
Skipping line: c3086_g3_i1	43.47	13.91	23.78	185.77	 with error: no match in BLAST file
Skipping line: c4745_g8_i1	15.54	110.42	5.20	7.56	 with error: no match in BLAST file
Skipping line: c3267_g1_i1	47.61	8.38	1.99	281.76	 with error: no match in BLAST file
Skipping line: c3847_g1_i1	7.19	128.87	5.73	2.90	 with error: no match in BLAST file
Skipping line: c4733_g1_i2	0.00	140.80	0.00	0.00	 with error: no match in BLAST file
Skipping line: c241_g1_i2	9.79	0.01	7.84	37.08	 with error: no match in BLAST file
Skipping line: c4743_g1_i1	680.35	1067.14	114.89	171.88	 with error: no match in BLAST file
Skipping line: c1717_g1_i1	4.63	9.56	0.00	49.76	 with error: no match in BLAST file
Skipping line: c4913_g1_i1	816.41	3451.39	1395.82	366.56	 with error: no match in BLAST file
Skipping line: c2937_g2_i1	7.42	26.84	5.31	122.35	 with error: no match in BLAST file
Skipping line: c1844_g1_i1	1172.28	4467.16	497.72	3369.76	 with error: no match in BLAST file
Skipping line: c4491_g1_i1	249.96	1037.83	654.60	56.87	 with error: no match in BLAST file
Skipping line: c4605_g1_i1	1459.10	6902.64	404.54	4290.48	 with error: no match in BLAST file
Skipping line: c5093_g1_i1	92.91	13.06	9.43	82.06	 with error: no match in BLAST file
Skipping line: c5059_g1_i1	430.65	1062.94	38.68	591.12	 with error: no match in BLAST file
Skipping line: c5878_g1_i1	589.04	23.19	2.07	917.58	 with error: no match in BLAST file
Skipping line: c1393_g1_i1	223.38	991.51	512.12	107.86	 with error: no match in BLAST file
Skipping line: c1593_g2_i1	0.00	126.80	0.00	0.00	 with error: no match in BLAST file
Skipping line: c2316_g2_i1	54.09	2.48	13.56	15.62	 with error: no match in BLAST file
Skipping line: c4469_g2_i1	15.02	80.03	7.53	116.50	 with error: no match in BLAST file
Skipping line: c2191_g1_i1	2.10	2.50	0.00	206.95	 with error: no match in BLAST file
Skipping line: c6147_g1_i1	4.31	6.07	1.44	55.82	 with error: no match in BLAST file
Skipping line: c5499_g1_i1	134.61	17.65	13.72	331.51	 with error: no match in BLAST file
Skipping line: c712_g1_i1	169.92	1267.58	385.45	86.12	 with error: no match in BLAST file
Skipping line: c1381_g1_i1	153.69	355.05	490.04	56.30	 with error: no match in BLAST file
Skipping line: c2826_g1_i2	3.02	89.71	2.60	0.00	 with error: no match in BLAST file
